type,urgency,severity,priority
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,high,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,medium,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,medium,minor,4
Task,medium,minor,4
Task,low,minor,4
Task,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Bug,medium,minor,4
Bug,low,minor,4
Bug,high,minor,4
Bug,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Task,low,minor,4
Task,low,minor,4
Bug,high,minor,4
Task,low,minor,4
Bug,low,minor,1
Bug,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,high,minor,4
Bug,medium,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Bug,low,minor,4
Bug,high,minor,4
Bug,low,minor,4
Task,low,minor,4
Bug,low,minor,4
Bug,low,minor,1
Bug,low,minor,4
Bug,high,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Bug,low,minor,4
Task,low,minor,4
Task,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Bug,medium,minor,4
Task,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Task,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Bug,high,minor,4
Bug,low,minor,4
Task,low,minor,4
Task,low,minor,4
Bug,high,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,medium,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,1
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Bug,low,minor,4
Bug,high,minor,4
Bug,medium,minor,4
Bug,low,minor,1
Bug,low,minor,4
Bug,high,minor,4
Bug,low,minor,1
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Bug,high,minor,1
Bug,low,minor,1
Bug,low,minor,1
Bug,low,minor,1
Task,low,minor,4
Task,low,minor,4
Bug,high,minor,1
Bug,low,minor,4
Bug,low,minor,4
Bug,low,minor,1
Bug,low,minor,4
Task,low,minor,4
Bug,low,minor,4
Task,low,minor,4
Bug,high,minor,4
Bug,low,minor,1
Bug,low,minor,1
Bug,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Bug,high,minor,1
Bug,low,minor,4
Milestone,low,minor,4
Milestone,low,minor,4
Task,low,minor,4
Task,low,minor,4
User story,low,minor,4
Task,low,minor,4
Milestone,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Milestone,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Bug,low,minor,4
Task,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Task,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Bug,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
Task,low,minor,4
