ID,Status,Priority,Assignee,Start date,Finish date,Estimated time,Spent time (hrs),Progress (%)
530,On hold,4,Person A,,,,0,0
531,On hold,4,Person A,,,,0,0
533,On hold,4,,,,,0,0
534,On hold,4,,,,,0,0
536,On hold,4,Person A,,,,20,0
582,New,4,Person B,11/16/2021,11/16/2021,,9,100
601,New,4,Person B,11/15/2021,11/15/2021,,0.21,100
602,New,4,Person B,11/15/2021,11/15/2021,,3,100
605,New,1,Person A,11/08/2021,11/08/2021,30,0.5,0
608,New,4,Person A,11/09/2021,11/09/2021,0,12,0
610,New,4,Person A,11/11/2021,11/11/2021,,0.5,0
611,New,4,Person A,11/10/2021,11/10/2021,,8,0
613,New,4,Person A,11/12/2021,11/12/2021,,2,0
615,New,4,Person A,11/11/2021,11/11/2021,,0.5,0
617,New,4,Person A,11/12/2021,11/12/2021,,12,0
624,New,4,Person C,11/04/2021,11/04/2021,4,5,100
660,New,4,Person B,11/12/2021,11/12/2021,2,3,100
661,New,4,Person B,11/12/2021,11/12/2021,3,3,100
662,New,4,Person B,11/12/2021,11/12/2021,1,1,100
663,New,4,Person B,11/12/2021,11/12/2021,2,2,100
664,New,4,Person B,11/11/2021,11/11/2021,3,3,100
665,New,4,Person B,11/11/2021,11/11/2021,2,2,100
666,New,4,Person B,11/10/2021,11/10/2021,2,2,100
667,New,4,Person B,11/10/2021,11/10/2021,2,2,97
668,New,4,Person B,11/08/2021,11/08/2021,3,3,100
669,New,4,Person B,12/15/2021,12/15/2021,1,1,100
670,New,4,Person B,11/10/2021,11/10/2021,2,2,100
671,New,4,Person B,11/09/2021,11/09/2021,2,2,100
672,New,4,Person B,11/09/2021,11/09/2021,6,6,100
673,New,4,Person B,11/08/2021,11/08/2021,3,3,100
674,New,4,Person B,11/16/2021,11/16/2021,4,4,100
676,New,4,Person B,11/15/2021,11/15/2021,3,3,0
677,New,4,Person B,11/16/2021,11/16/2021,3,3,100
679,New,4,Person B,11/16/2021,11/16/2021,2,2,100
680,New,4,Person B,11/01/2021,11/01/2021,3,3,100
681,New,4,Person B,11/16/2021,11/16/2021,3,0,100
682,New,4,Person B,11/04/2021,11/04/2021,2,2,100
683,New,4,Person B,11/05/2021,11/05/2021,5,5,100
685,New,4,Person B,11/05/2021,11/05/2021,2,2,100
686,New,4,Person B,11/05/2021,11/05/2021,2,2,100
687,New,4,Person B,11/08/2021,11/08/2021,3,3,100
688,New,4,Person B,11/15/2021,11/15/2021,3,3,100
709,New,4,Person C,11/16/2021,,,0,0
710,New,4,Person C,12/09/2021,12/09/2021,4,4,100
711,New,4,Person C,11/15/2021,11/15/2021,1,1,100
712,New,4,Person B,11/16/2021,11/16/2021,3,3,100
713,New,4,Person B,11/16/2021,11/16/2021,2,2,0
714,In progress,4,Person B,11/22/2021,11/22/2021,3,7,0
738,In progress,4,Person D,11/08/2021,,18,9,0
758,New,4,Person E,,,8,8,100
759,New,4,Person E,11/08/2021,,8,8,0
761,New,4,Person E,11/09/2021,,8,8,0
762,New,4,Person E,11/10/2021,,8,8,0
764,New,4,Person E,11/11/2021,,8,8,0
765,New,4,Person E,11/12/2021,,8,9,0
766,New,4,Person A,,,,2,0
767,New,4,Person E,11/15/2021,,8,6,0
768,New,4,Person E,11/16/2021,,8,8,0
779,New,4,Person C,11/09/2021,11/09/2021,1,1,100
781,New,4,Person F,,,,1,0
782,New,4,Person C,12/10/2021,12/10/2021,2,2,100
785,New,4,Person C,11/16/2021,11/16/2021,6,6,100
787,In progress,4,Person G,11/15/2021,,2,10,100
789,New,4,Person C,,,,0,0
790,New,4,Person H,11/16/2021,,8,0,0
792,New,4,Person C,11/15/2021,11/15/2021,0.5,0.5,100
793,New,4,Person C,11/15/2021,11/15/2021,1,1,100
795,New,4,Person C,11/15/2021,11/15/2021,0.5,0.5,100
798,New,4,Person H,11/15/2021,,,0,0
799,New,4,Person H,,,,0,0
800,New,4,Person H,11/15/2021,,,0,0
801,New,4,Person H,11/15/2021,11/15/2021,7,8,0
803,New,4,Person H,11/15/2021,11/15/2021,7,8,0
808,New,4,Person H,11/12/2021,11/12/2021,,8,0
809,New,4,,11/11/2021,11/11/2021,8,8,0
810,New,4,Person H,11/09/2021,11/10/2021,18,16,0
812,New,4,Person H,11/08/2021,11/08/2021,7,8,0
813,New,4,Person A,11/16/2021,,1,0,0
821,New,4,Person B,11/17/2021,11/17/2021,2,0,0
822,New,4,Person B,11/17/2021,11/17/2021,3,8,0
823,In progress,4,Person A,,,,21.3,0
853,New,4,Person A,,,,1,0
854,In progress,4,Person D,11/19/2021,,18,13.5,0
864,New,4,Person D,11/23/2021,,3,3,100
871,New,4,Person E,11/17/2021,,6,5,0
913,New,4,Person H,11/18/2021,11/18/2021,,8,0
969,In progress,4,Person A,,,,13,0
974,New,4,Person B,11/19/2021,11/19/2021,1,1,100
978,New,4,Person B,11/18/2021,11/18/2021,4,4,100
981,New,4,Person B,11/18/2021,11/18/2021,2,1.5,100
983,New,4,Person B,11/18/2021,11/18/2021,3,5,100
986,New,4,Person B,11/17/2021,11/17/2021,4,4,100
987,New,4,Person B,11/17/2021,11/17/2021,4,4,100
996,In progress,4,Person G,11/19/2021,,6,2,70
1018,In progress,4,Person C,11/19/2021,,5,4,98
1019,In progress,4,Person G,11/19/2021,11/19/2021,8,8.05,0
1024,New,4,Person H,,,8,8,0
1025,In progress,4,Person B,11/22/2021,11/22/2021,4,3.5,0
1026,New,4,Person H,11/22/2021,11/22/2021,,0,0
1029,New,4,Person E,11/18/2021,,6,6,0
1031,New,4,Person E,11/19/2021,,8,8,0
1032,On hold,4,Person D,,,,0,0
1035,New,4,,,,,3,0
1082,New,4,Person I,11/22/2021,,8,5,100
1090,On hold,4,Person B,11/22/2021,11/22/2021,2,2,100
1091,In progress,4,Person C,11/22/2021,11/22/2021,1,1,100
1092,In progress,4,Person C,,,2,2,100
1101,In progress,High,Person B,11/22/2021,11/22/2021,2,1,100
1115,New,4,Person E,11/22/2021,,2,2,0
1116,New,4,Person E,11/22/2021,,,0,0
1199,In progress,4,Person H,11/23/2021,11/23/2021,,0,0
