issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
72,Bug,Closed,Fixed,C-1,Major,Person 58,2007/07/08 11:33:06 +0100,null,Unassigned,2007/07/09 10:00:19 +0100
84,Improvement,Closed,Fixed,C-1,Major,Person 59,2007/08/03 00:41:31 +0100,2008/05/21 18:50:34 +0100,Person 60,2008/09/25 16:30:09 +0100
100,Improvement,Closed,Fixed,C-17,Minor,Person 61,2007/08/13 20:28:46 +0100,null,Unassigned,2007/09/04 11:05:01 +0100
112,Bug,Closed,Fixed,C-17,Major,Person 62,2007/08/17 17:05:54 +0100,null,Unassigned,2007/08/17 17:13:12 +0100
132,Improvement,Closed,Fixed,C-10,Major,Person 62,2007/08/31 12:12:02 +0100,null,Unassigned,2007/08/31 12:43:21 +0100
143,Improvement,Closed,Fixed,C-1,Major,Person 63,2007/09/11 10:56:38 +0100,null,Unassigned,2007/10/12 10:55:16 +0100
161,Bug,Closed,Fixed,,Trivial,Person 64,2007/09/28 05:04:46 +0100,2007/09/28 05:04:46 +0100,Person 62,2007/10/01 16:17:52 +0100
166,Bug,Closed,Fixed,C-1,Blocker,Person 64,2007/10/09 06:24:42 +0100,null,Unassigned,2007/10/10 18:40:18 +0100
199,Improvement,Closed,Fixed,C-1,Minor,Person 65,2007/11/02 08:11:47 +0100,null,Unassigned,2007/11/16 18:38:25 +0100
210,Bug,Closed,Fixed,C-1,Major,Person 66,2007/11/06 12:46:53 +0100,2007/11/06 12:46:53 +0100,Person 60,2007/11/14 13:16:01 +0100
214,Bug,Closed,Fixed,,Major,Person 62,2007/11/13 13:20:42 +0100,2007/11/13 13:20:42 +0100,Person 60,2008/03/31 22:26:54 +0100
224,Bug,Closed,Fixed,C-1,Major,Person 67,2007/11/16 09:33:43 +0100,null,Unassigned,2007/11/16 19:01:12 +0100
232,Bug,Closed,Fixed,C-1,Major,Person 60,2007/11/18 16:42:14 +0100,2007/11/18 16:42:14 +0100,Person 60,2007/11/19 12:43:27 +0100
237,Improvement,Closed,Fixed,C-1,Major,Person 60,2007/11/19 21:25:35 +0100,2007/11/19 21:25:35 +0100,Person 60,2007/11/19 21:37:04 +0100
