IssueId,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
5,Bug,Closed,Fixed,Network Server,Major,Person 377,2004/09/28 01:20:46 +0100,2004/09/28 01:20:46 +0100,Person 472,2005/09/16 03:14:48 +0100
19,Bug,Closed,Fixed,Services,Minor,Person 378,2004/09/29 20:09:06 +0100,2005/05/26 06:25:28 +0100,Person 379,2005/05/28 02:51:25 +0100
38,Bug,Closed,Fixed,SQL,Major,Person 380,2004/10/11 05:47:29 +0100,2004/10/13 15:52:37 +0100,Person 380,2004/10/13 15:53:49 +0100
42,Improvement,Closed,Fixed,Services,Major,Person 381,2004/10/15 01:26:43 +0100,2004/10/15 01:26:43 +0100,Person 381,2005/06/05 02:48:28 +0100
44,Improvement,Closed,Fixed,JDBC,Major,Person 382,2004/10/18 20:03:08 +0100,2004/11/05 04:01:24 +0100,Person 383,2004/11/10 18:38:44 +0100
45,Improvement,Closed,Fixed,SQL,Major,Person 382,2004/10/18 20:06:26 +0100,2004/11/11 20:05:19 +0100,Person 383,2004/11/12 19:28:30 +0100
85,Bug,Closed,Fixed,SQL,Major,Person 472,2004/12/01 03:05:54 +0100,2005/06/20 05:24:01 +0100,Person 384,2006/04/29 07:27:55 +0100
88,Bug,Closed,Fixed,Test,Minor,Person 379,2004/12/05 06:22:38 +0100,2005/01/24 17:13:48 +0100,Person 385,2006/02/08 14:22:24 +0100
90,Bug,Closed,Fixed,Tools,Major,Person 386,2004/12/06 23:45:53 +0100,2004/12/06 23:45:53 +0100,Person 472,2004/12/06 23:50:12 +0100
94,Bug,Closed,Fixed,Store,Major,Person 381,2004/12/08 00:02:00 +0100,2004/12/08 03:15:09 +0100,Person 387,2005/01/20 05:39:27 +0100
100,Improvement,Closed,Fixed,JDBC,Major,Person 380,2004/12/09 21:52:59 +0100,2006/02/21 01:28:05 +0100,Person 388,2006/07/30 08:32:33 +0100
117,Improvement,Closed,Fixed,Network Server,Minor,Person 389,2005/01/10 10:41:32 +0100,null,Unassigned,2005/11/12 09:38:44 +0100
122,Bug,Closed,Fixed,Test,Critical,Person 379,2005/01/16 02:08:13 +0100,2005/01/22 08:28:39 +0100,Person 383,2005/01/25 05:35:41 +0100
123,Bug,Closed,Fixed,SQL,Major,Person 390,2005/01/17 20:47:05 +0100,null,Unassigned,2005/02/10 05:38:07 +0100
127,Bug,Closed,Fixed,SQL,Major,Person 391,2005/01/21 05:28:16 +0100,2005/04/30 10:13:13 +0100,Person 392,2005/05/17 02:40:42 +0100
128,Bug,Closed,Fixed,Network Server,Minor,Person 393,2005/01/22 04:19:08 +0100,2005/05/23 23:08:26 +0100,Person 384,2006/04/11 02:50:34 +0100
129,Bug,Closed,Fixed,JDBC,Major,Person 380,2005/01/22 06:22:09 +0100,2012/05/11 15:00:47 +0100,Person 394,2012/09/11 19:24:01 +0100
132,Improvement,Closed,Fixed,Store,Major,Person 395,2005/01/25 03:54:55 +0100,2005/01/25 08:32:43 +0100,Person 395,2005/06/13 01:43:42 +0100
153,Bug,Closed,Fixed,Eclipse Plug-in,Major,Person 396,2005/02/25 01:33:43 +0100,2005/04/13 05:45:01 +0100,Person 385,2005/04/29 14:05:06 +0100
167,Improvement,Closed,Fixed,SQL,Major,Person 397,2005/03/09 03:59:41 +0100,2005/05/04 15:57:27 +0100,Person 398,2006/01/24 21:49:39 +0100
173,Bug,Closed,Fixed,Network Server,Major,Person 380,2005/03/11 16:58:58 +0100,2005/03/23 00:31:47 +0100,Person 380,2005/03/23 00:33:03 +0100
174,Bug,Closed,Fixed,JDBC,Major,Person 399,2005/03/21 18:27:21 +0100,null,Unassigned,2005/03/31 13:38:53 +0100
183,Bug,Closed,Fixed,SQL,Minor,Person 392,2005/03/26 11:41:40 +0100,2006/10/08 04:54:22 +0100,Person 400,2006/10/15 01:30:31 +0100
184,Bug,Closed,Fixed,Documentation,Minor,Person 401,2005/03/26 21:55:26 +0100,null,Unassigned,2005/03/27 03:31:59 +0100
186,Bug,Closed,Fixed,JDBC,Major,Person 402,2005/03/29 14:21:09 +0100,null,Unassigned,2005/04/06 11:08:32 +0100
198,Improvement,Closed,Fixed,Network Server,Minor,Person 393,2005/04/05 09:11:31 +0100,2005/04/05 09:11:31 +0100,Person 381,2005/06/01 05:17:25 +0100
203,Bug,Closed,Fixed,JDBC,Major,Person 403,2005/04/09 21:53:12 +0100,2005/05/02 13:36:08 +0100,Person 399,2005/05/25 17:53:04 +0100
212,Improvement,Closed,Fixed,Network Server,Minor,Person 393,2005/04/11 11:35:13 +0100,2006/01/12 21:06:42 +0100,Person 384,2006/10/25 13:35:22 +0100
220,Improvement,Closed,Fixed,Build tools,Minor,Person 385,2005/04/14 03:26:48 +0100,2005/05/19 19:38:19 +0100,Person 384,2005/06/02 05:09:01 +0100
229,Bug,Closed,Fixed,JDBC,Major,Person 379,2005/04/19 13:04:55 +0100,2005/05/02 13:36:35 +0100,Person 399,2005/06/03 15:56:54 +0100
230,Bug,Closed,Fixed,SQL,Minor,Person 404,2005/04/20 17:14:46 +0100,2005/05/03 18:57:17 +0100,Person 404,2005/06/06 21:35:53 +0100
