issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
12,Improvement,Resolved,Fixed,W,Major,Person 521,2006/10/20 11:16:20 +0100,2009/10/24 12:59:03 +0100,Person 522,2009/10/24 12:59:03 +0100
16,Bug,Closed,Fixed,W,Major,Person 523,2006/10/25 15:01:24 +0100,2006/10/25 20:43:05 +0100,Person 524,2006/10/26 00:18:42 +0100
31,Bug,Resolved,Fixed,W,Minor,Person 525,2006/11/04 01:30:02 +0100,2006/11/04 01:40:15 +0100,Person 528,2006/11/04 13:47:42 +0100
38,Bug,Resolved,Fixed,W,Minor,Person 526,2006/11/06 08:39:47 +0100,2007/02/23 13:00:47 +0100,Person 527,2007/03/12 23:05:59 +0100
81,Improvement,Resolved,Fixed,W,Major,Person 528,2006/11/16 17:16:56 +0100,null,Unassigned,2007/01/05 06:20:40 +0100
82,Improvement,Closed,Fixed,W,Major,Person 529,2006/11/16 19:46:05 +0100,2006/11/16 19:46:05 +0100,Person 529,2006/11/16 19:54:58 +0100
85,Bug,Closed,Fixed,W,Major,Person 527,2006/11/17 17:09:41 +0100,null,Unassigned,2006/11/20 05:26:53 +0100
88,Bug,Resolved,Fixed,W,Major,Person 522,2006/11/18 11:37:56 +0100,2006/11/18 19:26:57 +0100,Person 529,2006/11/18 21:02:57 +0100
91,Improvement,Closed,Fixed,W,Trivial,Person 530,2006/11/18 13:50:59 +0100,null,Unassigned,2006/11/18 21:18:13 +0100
100,Improvement,Resolved,Fixed,,Major,Person 531,2006/11/21 21:54:07 +0100,2006/11/21 21:54:12 +0100,Person 531,2006/11/25 22:59:56 +0100
101,Bug,Resolved,Fixed,,Minor,Person 532,2006/11/22 19:37:49 +0100,2006/11/22 19:37:49 +0100,Person 532,2006/11/22 19:50:20 +0100
105,Improvement,Resolved,Fixed,W,Trivial,Person 528,2006/11/23 23:35:25 +0100,2006/12/30 08:02:10 +0100,Person 529,2006/12/30 08:02:15 +0100
142,Bug,Closed,Fixed,W,Major,Person 533,2006/12/05 14:32:47 +0100,2006/12/09 00:32:29 +0100,Person 529,2006/12/09 02:30:59 +0100
144,Bug,Resolved,Fixed,W,Major,Person 531,2006/12/06 02:48:53 +0100,2006/12/06 02:48:53 +0100,Person 531,2006/12/09 19:53:50 +0100
149,Bug,Resolved,Fixed,W,Major,Person 534,2006/12/07 17:44:24 +0100,2006/12/31 17:10:46 +0100,Person 532,2007/01/18 15:30:58 +0100
151,Improvement,Resolved,Fixed,W,Major,Person 531,2006/12/08 00:51:15 +0100,2006/12/08 00:51:15 +0100,Person 531,2007/01/31 09:07:56 +0100
154,Improvement,Resolved,Fixed,W,Major,Person 535,2006/12/08 19:46:47 +0100,2006/12/08 20:22:34 +0100,Person 531,2006/12/08 22:01:04 +0100
155,Improvement,Closed,Fixed,W,Major,Person 531,2006/12/09 19:59:31 +0100,2006/12/09 19:59:31 +0100,Person 536,2007/03/11 03:56:04 +0100
159,Improvement,Resolved,Fixed,,Major,Person 531,2006/12/11 07:27:17 +0100,2006/12/11 07:27:17 +0100,Person 531,2006/12/11 07:31:37 +0100
165,Bug,Resolved,Fixed,W,Minor,Person 537,2006/12/13 13:02:39 +0100,2007/03/06 19:04:33 +0100,Person 527,2007/03/06 19:09:43 +0100
171,Improvement,Resolved,Fixed,W,Major,Person 331,2006/12/15 15:34:05 +0100,2006/12/26 23:58:14 +0100,Person 529,2006/12/26 23:58:39 +0100
172,Bug,Closed,Fixed,W,Major,Person 538,2006/12/15 17:46:42 +0100,2006/12/16 18:13:35 +0100,Person 536,2006/12/16 18:13:35 +0100
178,Bug,Resolved,Fixed,W,Minor,Person 539,2006/12/20 03:37:03 +0100,null,Unassigned,2006/12/26 14:32:14 +0100
215,Bug,Closed,Fixed,W,Major,Person 540,2007/01/18 00:56:10 +0100,2007/01/31 08:57:47 +0100,Person 531,2007/03/11 02:14:15 +0100
218,Bug,Resolved,Fixed,W,Major,Person 541,2007/01/18 13:52:22 +0100,null,Unassigned,2007/01/23 05:50:42 +0100
240,Bug,Closed,Fixed,W,Major,Person 528,2007/01/29 12:00:49 +0100,2007/02/27 10:57:33 +0100,Person 536,2007/02/27 10:57:33 +0100
245,Bug,Closed,Fixed,W,Major,Person 542,2007/01/30 09:57:42 +0100,2007/01/30 10:19:54 +0100,Person 536,2007/01/30 10:25:02 +0100
254,Bug,Resolved,Fixed,W,Minor,Person 543,2007/02/05 11:04:55 +0100,2007/06/25 20:25:27 +0100,Person 527,2007/06/25 21:48:00 +0100
255,Bug,Resolved,Fixed,W-extensions,Minor,Person 544,2007/02/05 14:25:34 +0100,2007/02/05 14:43:27 +0100,Person 532,2007/02/05 14:43:27 +0100
269,Bug,Resolved,Fixed,W,Critical,Person 531,2007/02/09 01:06:31 +0100,2007/02/09 01:06:31 +0100,Person 531,2007/02/09 01:38:44 +0100
277,Bug,Resolved,Fixed,W,Major,Person 543,2007/02/11 21:00:36 +0100,2007/03/06 14:38:22 +0100,Person 527,2007/03/06 14:41:25 +0100
292,Improvement,Resolved,Fixed,W,Major,Person 531,2007/02/18 02:13:18 +0100,null,Unassigned,2007/02/19 01:59:11 +0100
293,Bug,Resolved,Fixed,W,Major,Person 544,2007/02/18 13:56:08 +0100,2007/06/10 23:31:37 +0100,Person 527,2007/06/10 23:31:37 +0100
301,Improvement,Resolved,Fixed,W,Trivial,Person 545,2007/02/20 11:08:43 +0100,2007/04/25 23:59:07 +0100,Person 527,2007/04/25 23:59:07 +0100
323,Bug,Resolved,Fixed,W-extensions,Minor,Person 546,2007/02/25 06:13:44 +0100,2007/06/10 22:52:14 +0100,Person 532,2007/06/10 22:54:02 +0100
327,Improvement,Resolved,Fixed,W,Major,Person 547,2007/02/26 15:07:53 +0100,2007/02/26 17:33:05 +0100,Person 527,2007/02/28 01:01:24 +0100
330,Bug,Closed,Fixed,W,Major,Person 548,2007/02/27 11:24:02 +0100,2007/03/01 17:21:31 +0100,Person 536,2007/10/29 23:47:24 +0100
336,Bug,Closed,Fixed,W,Major,Person 549,2007/02/28 16:20:17 +0100,2007/10/16 06:47:08 +0100,Person 536,2007/10/29 22:46:32 +0100
344,Improvement,Resolved,Fixed,W-examples,Trivial,Person 550,2007/03/01 21:45:27 +0100,2007/06/10 22:47:31 +0100,Person 532,2007/06/13 01:22:25 +0100
345,Bug,Resolved,Fixed,W,Major,Person 531,2007/03/02 20:46:28 +0100,2007/03/02 20:46:28 +0100,Person 531,2007/03/04 00:34:38 +0100
362,Improvement,Closed,Fixed,W,Major,Person 551,2007/03/06 03:51:03 +0100,2007/04/25 22:47:04 +0100,Person 527,2007/04/25 22:52:14 +0100
371,Improvement,Resolved,Fixed,W-5,Major,Person 552,2007/03/08 22:15:34 +0100,null,Unassigned,2007/03/16 22:49:19 +0100
373,Bug,Resolved,Fixed,W-extensions,Major,Person 553,2007/03/09 09:12:24 +0100,2007/06/10 23:47:33 +0100,Person 532,2007/06/13 01:58:33 +0100
382,Bug,Closed,Fixed,W,Major,Person 532,2007/03/13 18:53:59 +0100,2007/03/13 18:53:59 +0100,Person 536,2007/10/30 23:25:56 +0100
394,Improvement,Resolved,Fixed,W,Minor,Person 554,2007/03/15 18:35:03 +0100,2007/07/31 09:41:21 +0100,Person 527,2007/07/31 09:41:53 +0100
396,Bug,Resolved,Fixed,W; W-extensions,Major,Person 532,2007/03/16 15:26:46 +0100,2007/03/27 14:47:48 +0100,Person 532,2007/05/03 21:03:19 +0100
397,Bug,Resolved,Fixed,W,Trivial,Person 523,2007/03/16 16:40:16 +0100,2007/03/16 16:53:21 +0100,Person 527,2007/03/16 16:54:48 +0100
404,Bug,Resolved,Fixed,W,Major,Person 555,2007/03/19 06:21:45 +0100,2007/04/28 02:09:37 +0100,Person 529,2007/04/28 02:09:46 +0100
416,Improvement,Resolved,Fixed,W,Minor,Person 527,2007/03/25 13:14:06 +0100,2007/06/10 22:44:10 +0100,Person 532,2007/06/18 10:25:55 +0100
417,Improvement,Resolved,Fixed,W-datetime,Major,Person 556,2007/03/25 16:37:53 +0100,null,Unassigned,2007/03/25 19:48:10 +0100
418,Bug,Resolved,Fixed,W,Major,Person 557,2007/03/25 21:46:24 +0100,2007/03/25 21:46:24 +0100,Person 557,2007/05/12 14:25:58 +0100
429,Bug,Resolved,Fixed,W,Major,Person 558,2007/03/27 11:58:39 +0100,2007/04/29 18:17:40 +0100,Person 522,2007/04/29 18:17:40 +0100
433,Improvement,Closed,Fixed,W,Minor,Person 531,2007/03/29 05:42:25 +0100,2007/03/29 05:42:25 +0100,Person 536,2008/05/12 10:53:07 +0100
455,Bug,Resolved,Fixed,W-quickstart,Major,Person 559,2007/04/09 21:11:18 +0100,2007/04/10 09:57:01 +0100,Person 527,2007/06/04 16:33:54 +0100
464,Bug,Resolved,Fixed,W,Major,Person 560,2007/04/12 17:25:54 +0100,2007/05/31 16:17:17 +0100,Person 532,2007/05/31 16:17:17 +0100
467,Bug,Resolved,Fixed,W,Critical,Person 561,2007/04/13 01:53:32 +0100,2007/04/13 02:37:19 +0100,Person 531,2007/04/13 04:50:50 +0100
499,Improvement,Resolved,Fixed,,Major,Person 531,2007/04/25 01:25:36 +0100,2007/06/18 04:44:22 +0100,Person 529,2012/02/03 07:40:49 +0100
501,Bug,Resolved,Fixed,W,Critical,Person 560,2007/04/25 18:40:20 +0100,2007/06/19 16:31:04 +0100,Person 532,2007/06/19 16:50:34 +0100
518,Improvement,Resolved,Fixed,W,Major,Person 531,2007/04/30 09:49:02 +0100,2007/04/30 09:49:02 +0100,Person 531,2007/04/30 11:08:37 +0100
536,Bug,Resolved,Fixed,W-extensions,Major,Person 562,2007/05/06 01:49:25 +0100,2007/06/10 23:20:49 +0100,Person 557,2007/08/26 17:10:36 +0100
541,Improvement,Resolved,Fixed,W,Trivial,Person 563,2007/05/07 09:40:12 +0100,null,Unassigned,2007/05/07 15:57:55 +0100
549,Improvement,Resolved,Fixed,W,Major,Person 560,2007/05/09 22:02:19 +0100,2007/05/12 10:59:17 +0100,Person 522,2007/06/17 16:50:24 +0100
550,Bug,Resolved,Fixed,W,Major,Person 527,2007/05/09 22:31:57 +0100,null,Unassigned,2008/10/31 00:53:30 +0100
559,Bug,Resolved,Fixed,W,Critical,Person 534,2007/05/12 16:21:16 +0100,2007/05/12 18:34:22 +0100,Person 522,2007/05/12 18:34:22 +0100
566,Bug,Resolved,Fixed,W-extensions,Trivial,Person 564,2007/05/14 19:17:13 +0100,2007/05/14 20:29:28 +0100,Person 527,2007/05/14 20:29:28 +0100
574,Bug,Resolved,Fixed,W,Minor,Person 565,2007/05/16 09:33:24 +0100,2010/08/27 08:33:34 +0100,Person 522,2010/08/27 08:33:34 +0100
595,Bug,Resolved,Fixed,W,Minor,Person 566,2007/05/28 01:55:15 +0100,2007/05/31 15:47:01 +0100,Person 566,2007/05/31 15:47:08 +0100
606,Bug,Closed,Fixed,,Blocker,Person 532,2007/05/31 19:34:42 +0100,2007/06/04 13:05:05 +0100,Person 532,2007/06/07 18:16:09 +0100
612,Bug,Resolved,Fixed,W,Minor,Person 567,2007/06/04 00:38:02 +0100,2007/06/04 12:35:50 +0100,Person 532,2007/06/04 12:36:43 +0100
613,Bug,Resolved,Fixed,W-5,Critical,Person 568,2007/06/04 01:19:57 +0100,2007/06/04 01:30:45 +0100,Person 529,2008/06/19 18:00:40 +0100
628,Bug,Resolved,Fixed,,Minor,Person 532,2007/06/08 15:39:56 +0100,2007/06/08 15:39:56 +0100,Person 532,2007/06/08 15:40:24 +0100
631,Bug,Resolved,Fixed,W,Major,Person 569,2007/06/09 18:00:14 +0100,2007/08/15 22:56:29 +0100,Person 536,2007/09/30 20:53:59 +0100
637,Improvement,Resolved,Fixed,W-examples,Trivial,Person 570,2007/06/11 16:23:51 +0100,2007/06/11 17:39:39 +0100,Person 532,2007/06/13 02:25:45 +0100
638,Improvement,Resolved,Fixed,W-examples,Minor,Person 570,2007/06/11 16:28:52 +0100,2007/06/14 16:05:54 +0100,Person 532,2007/06/14 17:15:57 +0100
661,Improvement,Closed,Fixed,W-datetime,Minor,Person 571,2007/06/17 23:45:48 +0100,2007/06/17 23:53:36 +0100,Person 531,2007/06/18 02:37:56 +0100
663,Improvement,Resolved,Fixed,,Major,Person 529,2007/06/18 04:23:13 +0100,2013/12/20 11:09:01 +0100,Person 572,2013/12/20 13:21:09 +0100
667,Bug,Resolved,Fixed,W-extensions,Major,Person 554,2007/06/18 18:22:42 +0100,2007/06/25 14:47:15 +0100,Person 529,2007/06/25 14:47:23 +0100
669,Improvement,Resolved,Fixed,W,Minor,Person 568,2007/06/18 23:21:25 +0100,2007/08/31 06:06:03 +0100,Person 532,2007/09/25 18:12:10 +0100
